molecular_data_kind,case_submitter_id,case_id,project_id,file_id,file_name,md5sum,file_size,state,data_category,data_type,data_format,experimental_strategy,access,workflow_type,sample_submitter_ids,sample_types,tumor_sample_submitter_ids,normal_sample_submitter_ids,aliquot_submitter_ids,download_url
expression,TCGA-60-2698,fd9ee494-65fe-4de4-adff-7952a059b17f,TCGA-LUSC,45c6656d-a8f3-4968-aa40-142f3a340dde,ec765dd2-6541-4cdc-a26c-6d116398dc87.rna_seq.augmented_star_gene_counts.tsv,88aa21bcc2f65eda1cef2efe72a40597,4251335,released,Transcriptome Profiling,Gene Expression Quantification,TSV,RNA-Seq,open,STAR - Counts,TCGA-60-2698-01A,Primary Tumor,TCGA-60-2698-01A,,TCGA-60-2698-01A-01R-0851-07,https://api.gdc.cancer.gov/data/45c6656d-a8f3-4968-aa40-142f3a340dde
mutation,TCGA-60-2698,fd9ee494-65fe-4de4-adff-7952a059b17f,TCGA-LUSC,9316b290-f5fa-4450-8210-aa36354fb435,f1f1bb81-db32-416b-b428-af91182a0297.wxs.aliquot_ensemble_masked.maf.gz,32c04cfcb74556b7308f8de684147f99,356395,released,Simple Nucleotide Variation,Masked Somatic Mutation,MAF,WXS,open,Aliquot Ensemble Somatic Variant Merging and Masking,TCGA-60-2698-11A; TCGA-60-2698-01A,Solid Tissue Normal; Primary Tumor,TCGA-60-2698-01A,TCGA-60-2698-11A,TCGA-60-2698-11A-01D-1522-08; TCGA-60-2698-01A-01D-1522-08,https://api.gdc.cancer.gov/data/9316b290-f5fa-4450-8210-aa36354fb435
mutation,TCGA-60-2698,fd9ee494-65fe-4de4-adff-7952a059b17f,TCGA-LUSC,1836886f-9165-4dc1-afed-4f9a7c929c01,fa721166-aaf7-4406-a3a8-49549457e59f.wxs.aliquot_ensemble_masked.maf.gz,21f25541369e3807de4397ec1bb65692,335888,released,Simple Nucleotide Variation,Masked Somatic Mutation,MAF,WXS,open,Aliquot Ensemble Somatic Variant Merging and Masking,TCGA-60-2698-11A; TCGA-60-2698-01A,Solid Tissue Normal; Primary Tumor,TCGA-60-2698-01A,TCGA-60-2698-11A,TCGA-60-2698-11A-01D-1522-08; TCGA-60-2698-01A-01W-0877-08,https://api.gdc.cancer.gov/data/1836886f-9165-4dc1-afed-4f9a7c929c01
